File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0103.b3.txt,b3,32,1,42,442,58,140,133
0105.b3.txt,b3,9,0,17,165,47,90,103
0122.b3.txt,b3,17,3,39,272,51,117,155
0130.b3.txt,b3,23,5,15,308,83,135,148
0133.b3.txt,b3,78,7,22,287,79,123,169
0134.b3.txt,b3,15,0,15,269,140,139,162
0139.b3.txt,b3,20,1,9,335,62,143,143
0140.b3.txt,b3,16,0,2,321,33,69,77
0165.b3.txt,b3,70,0,39,519,75,190,198
0171.b3.txt,b3,15,0,20,259,50,130,126
0200.b3.txt,b3,21,0,5,272,64,128,123
0300.b3.txt,b3,32,1,54,321,59,162,170
0303.b3.txt,b3,2,0,2,68,19,36,34
0304.b3.txt,b3,31,4,9,237,61,85,117
0307.b3.txt,b3,17,6,25,296,42,140,135
0308.b3.txt,b3,13,1,6,279,111,133,142
0310.b3.txt,b3,26,8,15,427,137,196,175
0313.b3.txt,b3,5,4,16,430,70,193,137
1023.b3.txt,b3,14,0,19,196,70,120,113
1057.b3.txt,b3,28,1,15,620,126,223,326
1066.b3.txt,b3,10,0,16,322,81,181,167
1069.b3.txt,b3,45,2,34,495,135,222,240
1082.b3.txt,b3,13,2,17,647,98,273,208
1097.b3.txt,b3,19,2,10,326,109,186,172
1100.b3.txt,b3,20,2,3,225,42,91,103
1102.b3.txt,b3,4,4,4,228,59,125,96
1112.b3.txt,b3,12,0,11,198,57,102,111
1508.b3.txt,b3,80,1,24,329,66,137,188
1520.b3.txt,b3,33,1,66,258,63,117,171
1532.b3.txt,b3,20,4,24,338,76,138,176
1533.b3.txt,b3,15,0,23,423,84,175,221
1534.b3.txt,b3,20,0,9,378,111,216,185
1536.b3.txt,b3,16,4,7,340,87,127,139
2018.b3.txt,b3,16,0,14,306,51,116,177
2034.b3.txt,b3,18,0,16,271,75,115,217
