File,Folder,RelFreq NOUN,RelFreq ADV,RelFreq ADJ,RelFreq VERB,Unique PER,Unique LOC,Unique ORG
0103.b2.txt,b2,2368.93,407.77,592.23,1174.76,3,0,4
0134.b2.txt,b2,2068.97,729.06,1359.61,1113.3,4,0,1
0139.b2.txt,b2,1844.31,538.92,1005.99,1365.27,2,0,2
0140.b2.txt,b2,2169.2,531.45,629.07,1095.44,2,0,5
0165.b2.txt,b2,2067.93,349.65,849.15,1188.81,0,0,0
0200.b2.txt,b2,1993.57,664.52,1168.27,1371.92,2,0,4
0300.b2.txt,b2,1963.93,410.82,911.82,1462.93,2,0,4
0308.b2.txt,b2,1932.23,732.6,989.01,1181.32,3,0,0
0310.b2.txt,b2,2676.71,498.26,602.55,1089.22,5,0,2
0313.b2.txt,b2,1844.41,524.48,1057.69,1188.81,2,0,2
1003.b2.txt,b2,2121.21,432.9,909.09,1385.28,6,0,0
1006.b2.txt,b2,1982.97,474.45,839.42,1155.72,0,0,0
1006.b2i.txt,b2,1982.97,474.45,839.42,1155.72,0,0,0
1021.b2.txt,b2,2294.59,370.74,691.38,1222.44,2,0,1
1023.b2.txt,b2,1966.36,556.27,815.01,1073.74,4,1,4
1057.b2.txt,b2,2013.31,515.81,790.35,1247.92,2,0,0
1097.b2.txt,b2,2136.75,572.65,837.61,1170.94,4,0,1
1100.b2.txt,b2,1940.67,494.44,877.63,1161.93,1,0,2
1104.b2.txt,b2,2121.54,458.42,650.32,1226.01,1,0,0
1104.b2i.txt,b2,2121.54,458.42,650.32,1226.01,1,0,0
1112.b2.txt,b2,2058.29,391.62,673.95,1102.0,15,0,4
1508.b2.txt,b2,1643.84,347.73,684.93,1475.24,2,0,0
1520.b2.txt,b2,2147.65,488.97,719.08,1428.57,2,0,2
1528.b2.txt,b2,1956.52,296.44,928.85,1235.18,5,0,0
1532.b2.txt,b2,1821.05,515.79,800.0,1136.84,6,1,6
1533.b2.txt,b2,2001.59,334.93,789.47,1379.59,10,0,3
1541.b2.txt,b2,2241.58,673.64,975.61,998.84,2,0,1
2012.b2.txt,b2,2171.72,265.15,871.21,1060.61,2,0,1
2019.b2.txt,b2,1859.56,598.18,858.26,1248.37,1,0,0
2028.b2.txt,b2,2077.6,375.47,876.1,1426.78,2,0,0
2028.b2i.txt,b2,2077.6,375.47,876.1,1426.78,2,0,0
2030.b2.txt,b2,1772.49,595.24,634.92,1534.39,0,0,0
2032.b2.txt,b2,2191.1,411.86,906.1,1268.53,3,0,1
2034.b2.txt,b2,2225.97,522.77,607.08,1163.58,3,0,3
2066.b2.txt,b2,2372.16,553.98,1008.52,1335.23,3,0,4
2070.b2.txt,b2,1910.48,556.77,818.78,1299.13,5,0,2
2070.b2i.txt,b2,1910.48,556.77,818.78,1299.13,5,0,2
3013.b2.txt,b2,2065.79,434.21,763.16,1092.11,7,1,3
3020.b2.txt,b2,2169.2,282.0,607.38,1258.13,3,0,1
3501.b2.txt,b2,2258.06,322.58,694.79,1091.81,7,0,1
3503.b2.txt,b2,2336.22,383.19,852.9,1038.32,2,1,5
3504.b2.txt,b2,2376.34,354.84,817.2,1247.31,7,1,3
3505.b2.txt,b2,2045.73,433.21,854.39,1371.84,1,0,2
3506.b2.txt,b2,1997.61,466.51,622.01,1220.1,5,0,3
3507.b2.txt,b2,2051.28,417.85,1101.61,1120.61,2,0,4
3508.b2.txt,b2,2292.42,379.06,920.58,1263.54,3,0,2
3509.b2.txt,b2,2085.25,576.04,887.1,1221.2,4,0,5
3511.b2.txt,b2,2338.31,417.91,656.72,1313.43,1,0,2
3518.b2.txt,b2,1608.94,346.37,782.12,1385.47,8,1,3
3519.b2.txt,b2,1853.71,420.84,701.4,1402.81,5,0,0
3520.b2.txt,b2,2202.64,387.67,775.33,1215.86,4,0,2
3522.b2.txt,b2,2166.67,597.22,888.89,1222.22,4,0,0
3523.b2.txt,b2,2555.88,359.57,796.89,1409.14,4,0,3
3525.b2.txt,b2,1964.29,459.18,880.1,1237.24,7,0,5
4012.b2.txt,b2,2117.4,513.63,670.86,1153.04,0,0,0
4036.b2.txt,b2,1961.18,490.3,858.02,1133.81,8,0,4
4038.b2.txt,b2,2151.16,523.26,593.02,1593.02,3,0,2
