File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0103.b5.txt,b5,33,0,1,338,71,163,208
0140.b5.txt,b5,58,0,2,218,77,87,159
0165.b5.txt,b5,22,0,0,240,56,93,136
0200.b5.txt,b5,20,0,1,270,84,111,160
0300.b5.txt,b5,29,1,11,254,59,109,117
0310.b5.txt,b5,15,0,2,244,81,125,162
1003.b5.txt,b5,34,0,3,217,60,76,161
1021.b5.txt,b5,18,1,4,277,46,92,161
1023.b5.txt,b5,56,2,2,230,99,111,207
1057.b5.txt,b5,38,0,1,275,79,138,171
1100.b5.txt,b5,27,0,4,245,47,100,152
1508.b5.txt,b5,68,0,6,189,67,63,180
1532.b5.txt,b5,22,0,1,196,43,52,162
1533.b5.txt,b5,61,0,5,364,103,117,293
2019.b5.txt,b5,33,0,3,175,42,63,145
2028.b5.txt,b5,42,0,31,229,67,81,234
2032.b5.txt,b5,39,1,19,192,100,104,243
2034.b5.txt,b5,32,0,3,201,58,99,127
2066.b5.txt,b5,54,0,3,159,45,65,172
3018.b5.txt,b5,32,0,27,224,81,108,155
3020.b5.txt,b5,28,0,2,204,34,95,99
