File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0102.a4.txt,a4,38,0,16,163,36,59,116
0103.a4.txt,a4,36,0,4,170,51,71,204
0104.a4.txt,a4,9,0,13,158,41,69,119
0105.a4.txt,a4,9,0,3,124,64,48,101
0106.a4.txt,a4,21,0,17,141,42,73,110
0107.a4.txt,a4,13,0,8,151,43,65,130
0108.a4.txt,a4,36,0,3,158,43,68,143
0109.a4.txt,a4,16,0,7,180,42,71,123
0110.a4.txt,a4,3,0,5,155,29,53,100
0111.a4.txt,a4,7,0,10,135,37,64,116
0112.a4.txt,a4,7,0,20,139,38,53,115
0115.a4.txt,a4,16,0,24,170,47,65,77
0119.a4.txt,a4,6,0,9,145,34,44,127
0120.a4.txt,a4,9,0,10,126,33,54,136
0121.a4.txt,a4,46,0,6,164,54,71,128
0122.a4.txt,a4,10,0,6,233,57,86,147
0127.a4.txt,a4,24,0,17,104,55,45,97
0128.a4.txt,a4,3,0,7,179,38,51,108
0130.a4.txt,a4,31,0,11,177,54,52,108
0134.a4.txt,a4,16,0,0,139,37,82,106
0135.a4.txt,a4,31,0,4,154,53,66,93
0136.a4.txt,a4,23,1,4,178,42,83,149
0137.a4.txt,a4,14,0,7,161,36,49,90
0139.a4.txt,a4,36,0,2,124,27,68,74
0140.a4.txt,a4,16,0,15,131,41,51,97
0149.a4.txt,a4,31,0,10,231,55,115,196
0156.a4.txt,a4,9,0,12,105,38,43,107
0157.a4.txt,a4,21,0,2,132,54,68,102
0158.a4.txt,a4,23,0,1,150,61,73,118
0159.a4.txt,a4,10,0,8,158,47,64,108
0161.a4.txt,a4,8,0,20,167,29,75,111
0165.a4.txt,a4,7,0,17,205,44,45,112
0168.a4.txt,a4,53,0,21,237,75,100,162
0169.a4.txt,a4,9,0,1,135,32,66,117
0171.a4.txt,a4,36,0,4,144,35,62,103
0175.a4.txt,a4,45,0,4,149,39,68,103
0176.a4.txt,a4,33,0,3,164,55,61,103
0177.a4.txt,a4,10,0,10,127,60,86,164
0178.a4.txt,a4,7,0,9,208,54,85,128
0179.a4.txt,a4,34,0,2,178,22,92,106
0185.a4.txt,a4,29,0,2,157,33,68,111
0186.a4.txt,a4,13,0,11,141,32,50,115
0187.a4.txt,a4,5,0,18,125,30,48,121
0188.a4.txt,a4,12,0,2,181,50,66,110
0190.a4.txt,a4,19,1,21,129,33,46,101
0192.a4.txt,a4,2,0,10,168,34,42,113
0193.a4.txt,a4,16,0,20,212,37,66,151
0194.a4.txt,a4,9,0,11,166,39,57,117
0195.a4.txt,a4,17,0,22,164,33,39,116
0196.a4.txt,a4,16,0,15,160,54,75,155
0197.a4.txt,a4,33,0,5,134,39,46,117
0198.a4.txt,a4,27,0,23,116,37,44,117
0199.a4.txt,a4,29,0,7,148,37,66,86
0200.a4.txt,a4,5,0,6,141,62,53,125
0202.a4.txt,a4,7,0,12,129,18,34,136
0204.a4.txt,a4,31,0,4,127,32,46,93
0205.a4.txt,a4,36,0,9,174,58,66,132
0206.a4.txt,a4,9,0,19,141,52,78,128
0208.a4.txt,a4,38,0,4,144,81,72,197
0213.a4.txt,a4,4,1,11,167,47,49,103
0214.a4.txt,a4,13,0,6,114,55,50,119
0215.a4.txt,a4,12,0,11,215,39,73,118
0216.a4.txt,a4,52,0,13,168,34,55,151
0218.a4.txt,a4,29,2,1,122,21,61,115
0219.a4.txt,a4,24,0,6,116,59,73,113
0222.a4.txt,a4,5,0,5,161,41,58,117
0223.a4.txt,a4,14,0,11,137,39,46,138
0224.a4.txt,a4,35,0,11,211,59,107,179
0227.a4.txt,a4,35,0,10,224,42,53,145
0234.a4.txt,a4,10,0,11,152,49,70,92
0235.a4.txt,a4,22,0,14,138,28,62,110
0237.a4.txt,a4,6,0,1,140,44,70,114
0238.a4.txt,a4,30,0,1,156,33,50,138
1003.a4.txt,a4,7,0,4,122,19,40,68
1005.a4.txt,a4,28,0,4,184,46,57,116
1006.a4.txt,a4,21,0,1,202,48,85,87
1008.a4.txt,a4,20,2,3,164,56,72,101
1009.a4.txt,a4,19,0,5,154,34,51,95
1010.a4.txt,a4,45,0,3,213,59,94,103
1012.a4.txt,a4,19,0,5,174,36,78,96
1013.a4.txt,a4,24,0,0,143,31,68,110
1014.a4.txt,a4,28,0,3,136,38,56,125
1017.a4.txt,a4,5,0,19,202,72,100,139
1018.a4.txt,a4,33,0,7,185,53,79,149
1021.a4.txt,a4,31,0,0,119,33,60,74
1022.a4.txt,a4,13,0,11,175,56,64,136
1023.a4.txt,a4,29,1,4,185,52,92,90
1032.a4.txt,a4,38,1,1,118,56,69,130
1034.a4.txt,a4,34,0,5,142,55,63,105
1036.a4.txt,a4,26,0,3,136,44,55,101
1043.a4.txt,a4,46,0,1,138,49,78,107
1048.a4.txt,a4,39,0,3,159,63,59,146
1049.a4.txt,a4,24,0,3,132,48,78,125
1050.a4.txt,a4,19,0,4,126,33,64,98
1052.a4.txt,a4,39,0,1,138,47,62,114
1055.a4.txt,a4,32,3,2,154,44,63,105
1057.a4.txt,a4,14,0,24,155,48,60,140
1060.a4.txt,a4,23,0,0,159,32,97,89
1061.a4.txt,a4,30,0,4,152,39,60,123
1064.a4.txt,a4,30,0,2,183,51,72,122
1065.a4.txt,a4,43,0,1,156,47,84,140
1066.a4.txt,a4,27,0,2,169,29,74,95
1067.a4.txt,a4,13,5,0,134,40,55,93
1068.a4.txt,a4,17,0,6,177,20,56,81
1070.a4.txt,a4,11,0,5,112,61,35,113
1072.a4.txt,a4,27,0,3,192,50,90,113
1074.a4.txt,a4,31,0,3,153,50,82,115
1076.a4.txt,a4,28,1,1,177,33,67,119
1077.a4.txt,a4,18,0,5,165,51,80,88
1081.a4.txt,a4,39,0,3,170,28,66,121
1088.a4.txt,a4,39,0,1,121,32,43,121
1090.a4.txt,a4,17,0,6,165,45,76,129
1094.a4.txt,a4,28,2,1,112,56,54,112
1095.a4.txt,a4,28,0,0,136,52,61,102
1098.a4.txt,a4,23,0,5,131,46,53,104
1099.a4.txt,a4,24,0,7,149,26,67,119
1100.a4.txt,a4,6,0,24,136,41,59,106
1102.a4.txt,a4,17,1,6,142,43,81,111
1103.a4.txt,a4,19,0,7,150,48,55,101
1104.a4.txt,a4,51,0,4,164,34,69,99
1112.a4.txt,a4,30,0,1,151,56,64,119
1121.a4.txt,a4,36,0,3,174,60,63,120
2000.a4.txt,a4,39,0,2,172,43,62,92
2005.a4.txt,a4,32,0,11,185,61,58,128
2007.a4.txt,a4,10,1,17,139,44,47,110
2008.a4.txt,a4,31,0,1,101,39,61,94
