File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0100.a2.txt,a2,1,0,2,171,29,65,106
0101.a2.txt,a2,0,0,0,160,56,43,74
0102.a2.txt,a2,0,1,1,152,57,54,95
0103.a2.txt,a2,0,0,1,160,33,85,102
0104.a2.txt,a2,4,0,1,168,27,59,79
0105.a2.txt,a2,0,0,2,137,46,70,99
0106.a2.txt,a2,0,1,1,139,45,61,94
0107.a2.txt,a2,2,0,3,139,47,65,116
0109.a2.txt,a2,3,0,2,122,28,47,90
0110.a2.txt,a2,1,1,1,176,42,45,102
0111.a2.txt,a2,0,0,0,132,47,35,96
0112.a2.txt,a2,0,0,1,187,41,66,87
0113.a2.txt,a2,0,0,0,178,57,71,106
0115.a2.txt,a2,0,0,1,169,50,53,99
0118.a2.txt,a2,1,0,1,125,31,61,103
0119.a2.txt,a2,0,0,0,144,33,54,104
0120.a2.txt,a2,0,3,0,147,42,59,93
0121.a2.txt,a2,2,3,1,175,36,64,66
0122.a2.txt,a2,1,0,6,133,34,52,77
0125.a2.txt,a2,0,0,1,124,29,80,80
0127.a2.txt,a2,1,1,1,135,49,57,79
0128.a2.txt,a2,2,0,4,157,48,64,86
0130.a2.txt,a2,4,4,0,167,47,59,93
0131.a2.txt,a2,0,0,1,183,46,48,93
0133.a2.txt,a2,0,0,1,184,53,97,102
0134.a2.txt,a2,0,0,0,144,60,77,67
0135.a2.txt,a2,1,0,3,158,44,76,88
0136.a2.txt,a2,0,0,0,162,25,70,96
0137.a2.txt,a2,0,0,1,142,50,51,103
0138.a2.txt,a2,0,0,1,144,35,57,98
0139.a2.txt,a2,0,0,0,133,43,56,89
0140.a2.txt,a2,0,0,0,174,44,80,113
0142.a2.txt,a2,0,0,0,239,40,85,119
0143.a2.txt,a2,0,0,0,182,39,85,104
0146.a2.txt,a2,0,0,0,150,47,64,135
0148.a2.txt,a2,0,7,9,165,37,45,95
0149.a2.txt,a2,0,0,4,230,82,75,144
0150.a2.txt,a2,0,0,0,124,35,49,106
0155.a2.txt,a2,1,0,1,159,52,89,99
0156.a2.txt,a2,1,0,0,126,36,49,76
0157.a2.txt,a2,0,0,2,97,49,42,118
0158.a2.txt,a2,0,0,0,131,56,44,99
0159.a2.txt,a2,0,0,0,150,62,69,88
0161.a2.txt,a2,0,1,11,180,45,58,97
0162.a2.txt,a2,0,0,0,155,28,55,94
0163.a2.txt,a2,0,0,0,129,57,73,75
0165.a2.txt,a2,3,1,1,141,33,54,68
0167.a2.txt,a2,0,0,1,194,67,92,104
0168.a2.txt,a2,2,3,0,241,46,83,135
0169.a2.txt,a2,1,0,1,179,52,122,111
0171.a2.txt,a2,0,0,1,145,37,64,85
0172.a2.txt,a2,2,0,0,162,38,48,85
0173.a2.txt,a2,4,0,1,190,41,103,71
0174.a2.txt,a2,0,0,2,201,23,81,103
0175.a2.txt,a2,0,0,1,140,34,49,107
0176.a2.txt,a2,0,0,0,161,32,55,70
0177.a2.txt,a2,0,2,1,133,51,74,88
0178.a2.txt,a2,1,0,0,195,70,95,112
0179.a2.txt,a2,0,0,0,150,30,75,91
0180.a2.txt,a2,1,0,0,180,55,58,106
0182.a2.txt,a2,4,1,33,198,55,102,118
0185.a2.txt,a2,0,1,0,144,37,49,94
0186.a2.txt,a2,0,0,0,130,52,51,106
0187.a2.txt,a2,5,0,0,147,32,77,86
0188.a2.txt,a2,1,0,2,134,38,73,90
