File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0103.b1.txt,b1,2,0,3,187,22,88,93
0105.b1.txt,b1,0,0,1,146,62,49,75
0122.b1.txt,b1,0,0,0,182,44,65,103
0134.b1.txt,b1,0,0,0,178,59,72,90
0139.b1.txt,b1,0,0,0,166,40,65,106
0140.b1.txt,b1,0,0,0,175,44,59,83
0165.b1.txt,b1,9,0,0,183,54,52,87
0171.b1.txt,b1,3,0,0,161,45,49,78
0200.b1.txt,b1,0,1,3,177,66,62,85
0300.b1.txt,b1,19,0,3,154,53,108,85
0304.b1.txt,b1,1,0,0,111,39,47,82
0307.b1.txt,b1,18,0,3,187,26,63,77
0308.b1.txt,b1,1,0,0,200,76,97,102
0310.b1.txt,b1,5,0,5,175,55,61,83
0313.b1.txt,b1,0,0,0,158,68,60,98
1003.b1.txt,b1,6,0,6,187,41,87,86
1006.b1.txt,b1,0,2,8,174,45,72,82
1006.b1i.txt,b1,0,2,8,174,45,72,82
1012.b1.txt,b1,0,0,0,175,32,66,77
1021.b1.txt,b1,1,0,3,152,50,78,80
1023.b1.txt,b1,1,0,5,168,75,101,80
1057.b1.txt,b1,0,1,0,179,72,79,127
1066.b1.txt,b1,1,0,3,164,51,92,86
1069.b1.txt,b1,6,4,10,177,68,71,91
1081.b1.txt,b1,2,0,3,182,48,73,107
1097.b1.txt,b1,12,0,2,190,58,92,94
1100.b1.txt,b1,0,0,0,149,42,86,81
1102.b1.txt,b1,0,0,4,199,41,59,85
1104.b1.txt,b1,5,0,7,169,50,65,86
1104.b1i.txt,b1,5,0,7,169,50,65,86
1112.b1.txt,b1,0,0,0,197,56,64,108
1500.b1.txt,b1,1,0,7,185,44,60,71
1508.b1.txt,b1,0,0,0,177,45,61,93
1520.b1.txt,b1,0,4,2,189,50,75,92
1523.b1.txt,b1,1,2,4,86,48,60,84
1528.b1.txt,b1,10,0,5,192,26,54,104
1532.b1.txt,b1,1,0,7,177,36,68,69
1541.b1.txt,b1,1,1,1,146,42,61,59
2012.b1.txt,b1,3,0,1,157,50,56,90
2012.b1i.txt,b1,3,0,1,157,50,56,90
2018.b1.txt,b1,0,5,8,214,47,77,94
2019.b1.txt,b1,5,0,0,128,47,65,102
2028.b1.txt,b1,7,0,0,133,49,44,96
2030.b1.txt,b1,1,0,0,136,51,76,81
2032.b1.txt,b1,4,0,0,143,49,61,97
2034.b1.txt,b1,5,0,2,140,43,47,73
2036.b1.txt,b1,1,0,0,112,42,50,80
2042.b1.txt,b1,2,0,7,132,49,59,94
2049.b1.txt,b1,5,0,4,195,47,63,90
2066.b1.txt,b1,18,0,0,137,29,45,100
2070.b1.txt,b1,3,0,2,171,37,45,90
2070.b1i.txt,b1,3,0,2,170,37,45,90
3013.b1.txt,b1,2,0,0,179,33,85,106
3018.b1.txt,b1,2,0,1,162,44,57,103
3020.b1.txt,b1,1,1,6,184,39,60,103
3062.b1.txt,b1,0,0,0,191,42,83,75
3501.b1.txt,b1,3,2,2,174,32,71,74
3503.b1.txt,b1,0,0,0,166,26,52,56
3504.b1.txt,b1,7,0,16,167,39,58,77
3505.b1.txt,b1,2,0,5,154,70,86,108
3506.b1.txt,b1,0,0,7,195,27,72,79
3508.b1.txt,b1,3,9,1,177,54,106,81
3509.b1.txt,b1,1,0,7,157,52,66,93
3510.b1.txt,b1,4,1,12,176,38,91,85
3511.b1.txt,b1,0,0,0,155,65,83,110
3513.b1.txt,b1,3,1,5,208,31,83,122
3514.b1.txt,b1,8,0,1,143,28,60,70
3515.b1.txt,b1,2,0,1,194,43,78,89
3518.b1.txt,b1,5,0,0,155,59,52,96
3519.b1.txt,b1,0,0,4,90,29,52,61
3520.b1.txt,b1,0,1,0,240,60,85,89
3522.b1.txt,b1,3,0,4,186,42,64,104
3523.b1.txt,b1,0,0,9,197,47,92,100
3525.b1.txt,b1,1,0,2,112,23,47,77
4012.b1.txt,b1,1,0,0,204,61,64,88
4035.b1.txt,b1,2,0,0,119,54,47,87
4036.b1.txt,b1,4,0,1,156,43,88,90
4038.b1.txt,b1,0,0,0,178,54,63,84
4503.b1.txt,b1,2,2,2,149,30,50,88
4507.b1.txt,b1,2,0,1,196,44,67,113
