File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0106.b7.txt,b7,0,1,0,171,50,81,122
0107.b7.txt,b7,0,1,11,145,48,92,96
0137.b7.txt,b7,7,2,2,212,35,82,97
0151.b7.txt,b7,2,0,2,153,35,72,85
0157.b7.txt,b7,7,1,2,108,50,75,104
0158.b7.txt,b7,2,1,0,156,42,63,105
0178.b7.txt,b7,6,0,6,246,89,118,127
0185.b7.txt,b7,5,0,0,179,61,81,114
0186.b7.txt,b7,0,0,1,144,54,62,92
0198.b7.txt,b7,0,0,2,165,41,66,88
0219.b7.txt,b7,1,1,0,186,52,90,89
0223.b7.txt,b7,0,0,1,177,40,77,93
0224.b7.txt,b7,2,2,1,153,24,69,75
0238.b7.txt,b7,2,0,1,158,52,67,111
0318.b7.txt,b7,1,0,0,157,39,62,69
