File,Folder,RelFreq NOUN,RelFreq ADV,RelFreq ADJ,RelFreq VERB,Unique PER,Unique LOC,Unique ORG
0107.b6.txt,b6,1922.01,445.68,961.0,1323.12,2,0,0
0137.b6.txt,b6,1944.44,584.8,979.53,1418.13,1,0,0
0151.b6.txt,b6,1628.22,597.01,719.13,1465.4,3,0,0
0157.b6.txt,b6,1404.06,655.23,811.23,1716.07,2,0,1
0158.b6.txt,b6,1700.25,680.1,856.42,1536.52,2,0,0
0178.b6.txt,b6,1923.96,622.12,944.7,1209.68,3,0,0
0185.b6.txt,b6,1857.84,484.65,775.44,1486.27,2,0,0
0198.b6.txt,b6,1727.42,491.28,744.85,1299.52,3,0,0
0219.b6.txt,b6,1958.93,379.15,631.91,1484.99,1,0,0
0223.b6.txt,b6,1907.36,681.2,762.94,1294.28,4,0,0
0238.b6.txt,b6,1534.39,405.64,864.2,1569.66,2,0,0
0318.b6.txt,b6,2041.05,535.92,900.8,1128.85,4,0,0
