File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0100.a1.txt,a1,0,0,0,109,38,57,87
0101.a1.txt,a1,1,0,0,93,67,47,99
0102.a1.txt,a1,1,0,0,124,40,57,100
0103.a1.txt,a1,1,0,1,99,52,54,123
0104.a1.txt,a1,0,1,2,107,55,46,97
0105.a1.txt,a1,2,0,2,101,52,50,113
0106.a1.txt,a1,1,0,0,125,71,68,105
0107.a1.txt,a1,0,0,0,87,44,64,104
0108.a1.txt,a1,1,0,0,95,48,34,101
0109.a1.txt,a1,0,0,0,111,58,61,116
0110.a1.txt,a1,1,0,0,112,52,65,109
0111.a1.txt,a1,0,0,1,114,57,56,110
0112.a1.txt,a1,0,0,1,110,57,66,107
0113.a1.txt,a1,0,0,2,178,118,97,169
0114.a1.txt,a1,0,0,0,93,71,48,119
0115.a1.txt,a1,0,0,1,105,61,62,88
0116.a1.txt,a1,0,0,0,91,58,43,97
0118.a1.txt,a1,0,0,1,99,50,48,100
0119.a1.txt,a1,0,0,0,101,58,63,110
0120.a1.txt,a1,4,0,0,100,64,52,114
0121.a1.txt,a1,0,0,3,138,63,70,136
0122.a1.txt,a1,0,0,1,125,57,56,113
0123.a1.txt,a1,1,0,0,98,61,47,107
0124.a1.txt,a1,0,3,3,148,54,67,97
0125.a1.txt,a1,0,1,0,156,50,72,95
0127.a1.txt,a1,0,0,0,85,63,45,104
0128.a1.txt,a1,0,0,0,112,60,53,100
0130.a1.txt,a1,1,0,1,109,53,68,88
0131.a1.txt,a1,0,0,0,105,39,60,113
0133.a1.txt,a1,0,0,0,93,69,47,115
0134.a1.txt,a1,0,0,0,112,96,60,103
0135.a1.txt,a1,0,0,4,110,46,60,64
0136.a1.txt,a1,0,1,0,132,58,49,107
0137.a1.txt,a1,0,0,2,89,68,66,99
0138.a1.txt,a1,1,0,0,112,59,62,104
0139.a1.txt,a1,0,0,0,85,54,42,124
0140.a1.txt,a1,5,0,0,143,50,78,129
0142.a1.txt,a1,0,0,3,118,25,57,97
0143.a1.txt,a1,1,0,1,116,57,54,104
0144.a1.txt,a1,1,0,3,88,62,53,98
0145.a1.txt,a1,0,0,0,133,61,56,98
0146.a1.txt,a1,0,0,0,91,50,44,120
0148.a1.txt,a1,0,0,0,106,54,70,92
0149.a1.txt,a1,1,0,0,128,76,76,128
0151.a1.txt,a1,1,0,0,73,56,40,119
0152.a1.txt,a1,0,0,0,127,62,67,115
0155.a1.txt,a1,0,0,0,84,67,60,127
0156.a1.txt,a1,1,0,0,73,57,48,112
0157.a1.txt,a1,0,0,0,100,43,48,139
0158.a1.txt,a1,0,0,0,97,53,52,125
0159.a1.txt,a1,0,0,1,90,61,47,114
0161.a1.txt,a1,0,0,0,118,37,70,95
0162.a1.txt,a1,0,0,1,99,50,54,103
0163.a1.txt,a1,0,0,0,105,74,44,87
0164.a1.txt,a1,0,0,0,130,46,56,95
0165.a1.txt,a1,1,0,0,133,50,61,100
0167.a1.txt,a1,1,0,2,120,89,60,111
0168.a1.txt,a1,0,0,0,111,70,47,107
0169.a1.txt,a1,0,0,2,116,46,55,110
0171.a1.txt,a1,0,1,1,118,60,52,115
0172.a1.txt,a1,18,0,0,104,56,60,90
0173.a1.txt,a1,4,0,3,108,50,60,103
0174.a1.txt,a1,2,0,0,115,43,49,130
0175.a1.txt,a1,0,0,1,88,60,50,112
0176.a1.txt,a1,0,0,1,128,62,59,113
0177.a1.txt,a1,1,0,0,42,26,29,57
0178.a1.txt,a1,0,0,1,126,85,67,106
0179.a1.txt,a1,0,0,0,92,43,42,110
0180.a1.txt,a1,0,0,4,100,59,55,116
0182.a1.txt,a1,5,0,1,169,66,69,143
0185.a1.txt,a1,1,0,2,125,43,60,86
0186.a1.txt,a1,2,0,1,98,63,38,115
0187.a1.txt,a1,0,0,1,100,58,58,110
0188.a1.txt,a1,1,0,2,93,55,53,106
0189.a1.txt,a1,1,0,2,127,56,67,139
0190.a1.txt,a1,1,1,1,91,40,45,112
0191.a1.txt,a1,0,0,2,105,57,63,114
0192.a1.txt,a1,0,0,1,88,65,67,128
0193.a1.txt,a1,0,1,1,94,42,61,113
0194.a1.txt,a1,1,0,1,108,67,77,143
0195.a1.txt,a1,0,0,0,102,47,52,122
0196.a1.txt,a1,8,0,0,108,52,64,112
0197.a1.txt,a1,0,0,0,113,46,54,103
0198.a1.txt,a1,2,0,1,93,35,43,99
0199.a1.txt,a1,5,0,0,109,55,41,115
0200.a1.txt,a1,3,1,2,127,71,78,133
0201.a1.txt,a1,2,0,0,80,51,45,105
0202.a1.txt,a1,0,0,1,127,48,53,99
0203.a1.txt,a1,4,0,1,133,45,56,112
0204.a1.txt,a1,1,0,1,120,42,50,91
0205.a1.txt,a1,2,0,0,114,58,64,132
0206.a1.txt,a1,0,0,2,83,45,46,101
0207.a1.txt,a1,1,0,0,96,44,47,114
0208.a1.txt,a1,2,0,2,160,72,92,128
0209.a1.txt,a1,1,0,3,105,46,48,94
0212.a1.txt,a1,0,0,0,107,65,52,86
0213.a1.txt,a1,0,0,2,115,45,68,115
0214.a1.txt,a1,1,0,0,98,69,49,106
0215.a1.txt,a1,10,1,10,136,66,49,132
0216.a1.txt,a1,1,0,1,108,27,55,103
0217.a1.txt,a1,0,0,0,88,44,63,91
0218.a1.txt,a1,0,0,0,116,37,59,120
0219.a1.txt,a1,0,0,0,121,52,58,96
0221.a1.txt,a1,1,2,3,104,49,53,112
0222.a1.txt,a1,0,0,1,85,29,44,81
0223.a1.txt,a1,0,0,0,81,38,50,74
0224.a1.txt,a1,1,0,1,94,48,49,93
0226.a1.txt,a1,0,0,0,113,53,69,87
0227.a1.txt,a1,1,0,1,112,51,58,119
0232.a1.txt,a1,4,0,1,107,62,54,105
0233.a1.txt,a1,0,0,1,98,43,60,88
0234.a1.txt,a1,0,0,0,112,41,52,107
0235.a1.txt,a1,0,0,0,120,35,57,83
0236.a1.txt,a1,0,0,0,81,47,43,111
0238.a1.txt,a1,0,0,1,92,31,54,111
1001.a1.txt,a1,0,0,0,130,32,58,96
1003.a1.txt,a1,0,0,0,130,43,64,119
1004.a1.txt,a1,1,0,5,121,55,62,109
1005.a1.txt,a1,0,0,1,138,65,65,105
1006.a1.txt,a1,3,0,0,114,50,72,126
1007.a1.txt,a1,1,0,3,79,31,33,75
1008.a1.txt,a1,1,0,0,125,54,48,112
1009.a1.txt,a1,3,0,3,137,37,54,102
1010.a1.txt,a1,4,0,3,161,71,92,160
1012.a1.txt,a1,0,0,0,130,54,57,91
1013.a1.txt,a1,5,0,1,94,71,53,101
1014.a1.txt,a1,0,0,3,97,40,48,97
1016.a1.txt,a1,0,0,0,90,66,59,92
1017.a1.txt,a1,0,1,0,126,69,68,122
1018.a1.txt,a1,4,0,1,128,45,73,101
1019.a1.txt,a1,6,0,7,190,94,88,135
1020.a1.txt,a1,5,0,3,143,69,66,153
1021.a1.txt,a1,1,0,2,105,47,52,106
1022.a1.txt,a1,0,0,0,118,42,49,132
1023.a1.txt,a1,2,0,3,137,63,64,115
1024.a1.txt,a1,0,0,0,114,53,58,110
1026.a1.txt,a1,0,0,0,116,53,73,156
1027.a1.txt,a1,3,0,0,115,26,51,117
1029.a1.txt,a1,0,0,0,112,37,63,112
1031.a1.txt,a1,0,0,1,92,46,47,111
1032.a1.txt,a1,1,0,1,109,51,59,116
1034.a1.txt,a1,0,0,0,113,47,45,104
1036.a1.txt,a1,1,0,2,93,59,53,100
1037.a1.txt,a1,0,0,0,106,65,65,111
1038.a1.txt,a1,0,1,3,87,53,42,80
1039.a1.txt,a1,2,0,1,125,76,68,154
1041.a1.txt,a1,2,1,0,91,64,45,131
1042.a1.txt,a1,6,0,2,163,92,78,148
1043.a1.txt,a1,0,0,0,117,59,56,110
1044.a1.txt,a1,8,1,3,146,73,87,105
1047.a1.txt,a1,0,0,4,100,51,69,104
1049.a1.txt,a1,0,0,0,92,50,52,114
1050.a1.txt,a1,6,0,0,90,61,57,97
1052.a1.txt,a1,2,0,0,84,50,35,106
1054.a1.txt,a1,0,0,1,144,45,50,136
1055.a1.txt,a1,0,0,0,136,55,49,135
1056.a1.txt,a1,2,0,2,110,96,69,139
1057.a1.txt,a1,0,0,0,108,48,56,129
1058.a1.txt,a1,0,0,1,122,69,52,141
1060.a1.txt,a1,8,0,0,74,62,47,126
1061.a1.txt,a1,0,0,0,88,47,41,95
1062.a1.txt,a1,9,0,3,115,49,50,106
1063.a1.txt,a1,5,0,0,106,51,62,109
1064.a1.txt,a1,0,0,0,110,67,64,109
1065.a1.txt,a1,0,0,0,99,79,64,103
1066.a1.txt,a1,1,0,0,117,52,51,106
