File,Folder,RelFreq NOUN,RelFreq ADV,RelFreq ADJ,RelFreq VERB,Unique PER,Unique LOC,Unique ORG
0101.a3.txt,a3,2268.1704260651627,538.8471177944862,802.0050125313282,1228.0701754385964,1,0,1
0102.a3.txt,a3,2060.682680151707,391.9089759797725,568.9001264222503,1302.1491782553728,2,0,0
0103.a3.txt,a3,2343.499197431782,577.8491171749599,1203.8523274478332,995.1845906902087,8,0,1
0104.a3.txt,a3,1878.453038674033,593.9226519337017,690.6077348066299,1215.4696132596684,2,0,0
0105.a3.txt,a3,1843.191196698762,825.3094910591471,687.7579092159559,1389.270976616231,1,0,0
0106.a3.txt,a3,2506.8493150684935,643.8356164383562,849.3150684931506,1054.7945205479452,1,0,0
0107.a3.txt,a3,2458.7912087912086,480.7692307692308,934.0659340659341,1208.7912087912089,3,0,1
0109.a3.txt,a3,2128.5714285714284,500.0,485.7142857142857,1514.2857142857144,3,0,1
0110.a3.txt,a3,2202.4623803009576,533.515731874145,738.7140902872777,1367.9890560875513,1,0,0
0111.a3.txt,a3,2170.0879765395894,439.8826979472141,586.5102639296188,1407.6246334310852,2,0,0
0112.a3.txt,a3,2339.0275952693823,657.030223390276,762.1550591327201,1143.2325886990802,1,0,0
0115.a3.txt,a3,2456.3953488372094,770.3488372093024,741.2790697674419,1366.2790697674418,0,0,1
0118.a3.txt,a3,2727.272727272727,376.1755485893417,909.0909090909091,1253.9184952978055,0,0,1
0119.a3.txt,a3,2506.8493150684935,493.1506849315068,808.2191780821918,1356.1643835616437,2,0,0
0120.a3.txt,a3,2336.448598130841,545.171339563863,981.3084112149533,1152.6479750778817,0,0,0
0121.a3.txt,a3,2135.3383458646617,586.4661654135339,556.390977443609,1187.96992481203,2,0,1
0122.a3.txt,a3,2623.8286479250332,481.9277108433735,722.8915662650602,1231.5930388219545,1,0,0
0125.a3.txt,a3,2258.9531680440773,523.4159779614325,1115.702479338843,1101.9283746556473,2,0,4
0127.a3.txt,a3,2244.8979591836733,580.8477237048666,894.8194662480377,1098.901098901099,6,0,1
0128.a3.txt,a3,2243.125904486252,752.5325615050651,549.9276410998552,1201.1577424023155,2,0,1
0130.a3.txt,a3,1911.7647058823527,762.0320855614973,762.0320855614973,1163.101604278075,2,0,0
0131.a3.txt,a3,2450.1424501424503,769.2307692307693,811.965811965812,1196.5811965811965,0,0,0
0133.a3.txt,a3,2167.042889390519,688.4875846501129,632.0541760722348,1162.528216704289,3,0,1
0134.a3.txt,a3,2370.17310252996,639.1478029294275,1025.2996005326231,1078.561917443409,0,0,0
0135.a3.txt,a3,2272.0897615708272,462.8330995792426,687.2370266479663,1402.524544179523,1,0,0
0136.a3.txt,a3,2351.421188630491,490.9560723514212,697.6744186046511,1447.0284237726098,2,0,0
0137.a3.txt,a3,2280.4532577903683,736.5439093484418,892.3512747875353,1090.6515580736543,0,0,0
0138.a3.txt,a3,2292.6829268292686,357.7235772357724,699.1869918699186,1495.9349593495936,1,0,0
0139.a3.txt,a3,2193.3621933621935,360.7503607503607,707.070707070707,1645.021645021645,1,0,0
0142.a3.txt,a3,2416.6666666666665,333.3333333333333,1083.3333333333333,1270.8333333333333,0,0,0
0143.a3.txt,a3,2457.956015523933,413.9715394566624,659.7671410090556,1099.6119016817593,3,0,1
0146.a3.txt,a3,1815.7181571815718,542.0054200542006,677.5067750677506,1693.7669376693768,4,0,0
0149.a3.txt,a3,2351.9870235198705,689.375506893755,624.493106244931,1305.758313057583,0,0,0
0155.a3.txt,a3,2129.9638989169675,481.34777376654637,806.257521058965,1179.3020457280386,2,0,0
0156.a3.txt,a3,2205.479452054795,465.75342465753425,630.1369863013699,1273.972602739726,1,0,0
0157.a3.txt,a3,1692.0943134535369,596.3938973647712,651.872399445215,1595.0069348127602,1,0,0
0158.a3.txt,a3,1988.1305637982198,563.7982195845697,816.0237388724036,1483.6795252225518,2,0,0
0159.a3.txt,a3,2446.236559139785,645.1612903225806,618.2795698924731,1276.8817204301074,1,0,3
0161.a3.txt,a3,2341.3258110014103,507.7574047954866,930.8885754583921,1043.7235543018337,0,0,0
0162.a3.txt,a3,2668.5393258426966,449.438202247191,758.4269662921349,997.191011235955,1,0,1
0163.a3.txt,a3,2058.8235294117644,708.5561497326204,788.7700534759358,1149.7326203208556,0,0,1
0165.a3.txt,a3,2031.823745410037,477.35618115055075,685.4345165238677,1321.909424724602,2,0,0
