File,Folder,RelFreq NOUN,RelFreq ADV,RelFreq ADJ,RelFreq VERB,Unique PER,Unique LOC,Unique ORG
0100.a2.txt,a2,2282.32,395.78,857.52,1556.73,0,0,0
0101.a2.txt,a2,2312.14,765.9,664.74,1054.91,0,1,0
0102.a2.txt,a2,2092.11,750.0,723.68,1289.47,0,0,1
0103.a2.txt,a2,2189.59,440.59,1148.2,1375.17,0,0,1
0104.a2.txt,a2,2382.27,360.11,775.62,1191.14,3,0,1
0105.a2.txt,a2,1926.23,614.75,956.28,1352.46,0,0,2
0106.a2.txt,a2,1981.26,548.86,829.99,1271.75,1,0,1
0107.a2.txt,a2,1787.07,570.34,836.5,1482.89,1,0,0
0109.a2.txt,a2,1997.04,428.99,591.72,1449.7,1,0,0
0110.a2.txt,a2,2457.87,561.8,688.2,1432.58,1,0,2
0111.a2.txt,a2,2146.26,683.62,556.44,1526.23,0,0,0
0112.a2.txt,a2,2496.68,557.77,863.21,1155.38,0,0,0
0113.a2.txt,a2,2208.59,625.77,883.44,1337.42,1,0,0
0115.a2.txt,a2,2401.69,730.34,716.29,1404.49,0,0,0
0118.a2.txt,a2,1963.75,483.38,936.56,1676.74,2,0,1
0119.a2.txt,a2,1981.0,366.35,732.7,1478.97,1,0,0
0120.a2.txt,a2,2074.69,622.41,816.04,1396.96,0,3,0
0121.a2.txt,a2,2290.08,458.02,890.59,839.69,0,3,0
0122.a2.txt,a2,2033.38,455.24,819.42,1183.61,1,0,0
0125.a2.txt,a2,2054.57,465.49,1252.01,1252.01,1,0,0
0127.a2.txt,a2,2141.73,771.65,881.89,1417.32,0,1,0
0128.a2.txt,a2,2147.4,571.79,876.75,1130.88,0,0,0
0130.a2.txt,a2,2155.91,535.93,730.82,1157.13,3,1,0
0131.a2.txt,a2,2572.21,591.47,660.25,1292.98,0,0,1
0133.a2.txt,a2,2065.22,521.74,1076.09,1119.57,0,0,0
0134.a2.txt,a2,1943.32,809.72,1066.13,917.68,0,0,0
0135.a2.txt,a2,2083.86,508.26,940.28,1181.7,2,0,2
0136.a2.txt,a2,2279.01,331.49,1008.29,1353.59,0,0,0
0137.a2.txt,a2,1897.91,641.36,667.54,1413.61,0,0,1
0138.a2.txt,a2,2053.07,474.86,810.06,1578.21,1,0,0
0139.a2.txt,a2,1988.22,662.74,839.47,1428.57,0,0,0
0140.a2.txt,a2,2018.35,538.99,883.03,1295.87,0,0,0
0142.a2.txt,a2,2435.77,421.38,873.59,1253.85,0,0,0
0143.a2.txt,a2,2268.29,463.41,987.8,1329.27,0,0,0
0146.a2.txt,a2,1780.35,543.35,739.88,1606.94,1,0,0
0148.a2.txt,a2,2139.18,463.92,605.67,1262.89,0,3,2
0149.a2.txt,a2,2189.85,761.28,704.89,1372.18,0,0,1
0150.a2.txt,a2,1824.71,502.87,704.02,1537.36,0,0,0
0155.a2.txt,a2,2319.66,721.36,1216.41,1371.99,0,0,0
0156.a2.txt,a2,2041.14,585.44,775.32,1234.18,0,0,0
0157.a2.txt,a2,1401.87,614.15,560.75,1682.24,2,0,2
0158.a2.txt,a2,1834.73,784.31,616.25,1484.59,1,0,0
0159.a2.txt,a2,2142.86,780.42,939.15,1216.93,0,0,1
0161.a2.txt,a2,2500.0,559.9,768.23,1250.0,1,1,2
0162.a2.txt,a2,2212.77,354.61,765.96,1375.89,1,0,0
0163.a2.txt,a2,1923.64,778.27,1071.95,1116.01,0,0,0
0165.a2.txt,a2,2352.94,506.54,964.05,1143.79,2,0,0
0167.a2.txt,a2,1983.72,630.72,956.26,1068.16,0,0,0
0168.a2.txt,a2,2663.04,478.26,902.17,1478.26,1,3,0
0169.a2.txt,a2,1986.61,591.52,1417.41,1283.48,2,0,1
0171.a2.txt,a2,2034.81,468.54,870.15,1111.11,0,0,0
0172.a2.txt,a2,2310.98,556.35,684.74,1255.35,2,0,0
0173.a2.txt,a2,2352.2,553.46,1270.44,905.66,1,0,1
0174.a2.txt,a2,2421.31,266.34,992.74,1259.08,0,0,2
0175.a2.txt,a2,2046.7,412.09,659.34,1593.41,1,0,0
0176.a2.txt,a2,2387.39,480.48,735.74,1171.17,1,0,0
0177.a2.txt,a2,1796.88,638.02,963.54,1406.25,1,0,0
0178.a2.txt,a2,2163.68,773.54,1053.81,1266.82,1,0,0
0179.a2.txt,a2,2129.76,451.34,1015.51,1297.6,0,0,0
0180.a2.txt,a2,2230.39,625.0,686.27,1323.53,1,0,0
0182.a2.txt,a2,1862.13,483.44,931.07,1065.35,3,1,3
0185.a2.txt,a2,1983.81,472.33,647.77,1336.03,1,0,0
0186.a2.txt,a2,1799.16,697.35,753.14,1506.28,0,0,0
0187.a2.txt,a2,2128.78,420.5,985.55,1143.23,1,0,0
0188.a2.txt,a2,1932.89,496.64,993.29,1221.48,1,0,0
0189.a2.txt,a2,1972.36,464.82,854.27,979.9,0,1,1
0190.a2.txt,a2,1499.27,655.02,596.8,1644.83,1,0,0
0191.a2.txt,a2,2111.65,521.84,703.88,1395.63,0,0,2
0192.a2.txt,a2,2091.25,659.06,608.37,1330.8,2,0,0
0193.a2.txt,a2,2521.96,489.34,1041.41,1392.72,0,0,1
0194.a2.txt,a2,2162.53,413.22,1074.38,1280.99,1,0,0
0195.a2.txt,a2,1434.54,529.25,710.31,1267.41,2,3,3
0196.a2.txt,a2,2208.28,326.22,828.11,1392.72,0,0,0
0197.a2.txt,a2,2026.24,685.13,860.06,1137.03,1,0,0
0198.a2.txt,a2,2015.5,387.6,852.71,1116.28,1,0,2
0199.a2.txt,a2,2134.23,348.99,966.44,1234.9,1,0,0
0200.a2.txt,a2,1714.29,633.54,745.34,1440.99,0,1,2
0201.a2.txt,a2,1840.49,352.76,981.6,950.92,0,0,1
0202.a2.txt,a2,2278.82,375.34,831.1,1662.2,2,0,0
0203.a2.txt,a2,1899.07,650.73,1142.1,1075.7,0,0,0
0204.a2.txt,a2,2122.64,471.7,691.82,1210.69,0,1,0
0205.a2.txt,a2,2410.07,515.59,923.26,1270.98,3,0,2
0206.a2.txt,a2,2100.72,633.09,776.98,1223.02,1,1,0
0207.a2.txt,a2,1936.87,516.5,774.75,1391.68,0,0,0
0208.a2.txt,a2,1897.96,591.84,836.73,1510.2,3,0,1
0209.a2.txt,a2,2520.33,311.65,813.01,1016.26,1,0,1
0213.a2.txt,a2,1898.57,598.18,910.27,1729.52,1,0,1
0214.a2.txt,a2,2119.29,634.52,989.85,1116.75,1,1,0
0215.a2.txt,a2,1829.44,495.19,1045.39,1650.62,0,0,0
0216.a2.txt,a2,1825.1,291.51,1051.96,1292.78,1,0,1
0218.a2.txt,a2,2517.1,328.32,793.43,1313.27,0,0,0
0219.a2.txt,a2,1760.84,709.59,657.03,1616.29,1,0,0
0221.a2.txt,a2,2422.91,381.79,558.0,1145.37,1,0,0
0222.a2.txt,a2,2293.18,449.93,667.63,1378.81,1,4,2
