File,Folder,RelFreq NOUN,RelFreq ADV,RelFreq ADJ,RelFreq VERB,Unique PER,Unique LOC,Unique ORG
0103.b1.txt,b1,2311.44,255.47,1082.73,1180.05,4,1,2
0105.b1.txt,b1,2139.67,936.11,728.08,1144.13,0,0,1
0122.b1.txt,b1,2328.77,523.04,809.46,1295.14,0,0,0
0134.b1.txt,b1,2249.69,729.3,889.99,1124.85,0,0,0
0139.b1.txt,b1,2154.63,506.97,823.83,1356.15,0,0,0
0140.b1.txt,b1,2416.11,550.34,791.95,1140.94,1,0,0
0165.b1.txt,b1,2372.03,674.16,649.19,1161.05,3,0,1
0171.b1.txt,b1,2364.67,612.54,655.27,1111.11,3,0,1
0200.b1.txt,b1,2409.64,789.83,829.99,1137.88,0,1,1
0300.b1.txt,b1,2042.08,655.94,1225.25,1101.49,6,0,3
0304.b1.txt,b1,2158.27,701.44,827.34,1420.86,0,0,0
0307.b1.txt,b1,2853.54,328.28,1085.86,1047.98,5,1,2
0308.b1.txt,b1,2147.37,789.47,1010.53,1094.74,0,0,1
0310.b1.txt,b1,2289.78,685.64,802.07,1099.61,4,0,1
0313.b1.txt,b1,1966.02,800.97,740.29,1177.18,0,0,0
1003.b1.txt,b1,2350.7,520.97,1143.58,1194.41,4,0,4
1006.b1.txt,b1,2295.51,606.86,897.1,1134.56,1,1,1
1006.b1i.txt,b1,2295.51,606.86,897.1,1134.56,1,1,1
1012.b1.txt,b1,2391.89,445.95,878.38,1054.05,0,0,0
1021.b1.txt,b1,2048.04,594.18,1024.02,1036.66,0,0,1
1023.b1.txt,b1,2036.14,903.61,1204.82,1096.39,0,0,2
1057.b1.txt,b1,1944.74,765.14,828.91,1370.88,1,0,0
1066.b1.txt,b1,2071.16,622.62,1169.0,1105.46,0,0,2
1069.b1.txt,b1,2084.21,726.32,852.63,1031.58,4,1,1
1081.b1.txt,b1,2016.13,541.47,887.1,1278.8,1,0,3
1097.b1.txt,b1,2214.77,615.21,1040.27,1051.45,7,0,3
1100.b1.txt,b1,2175.14,550.85,1242.94,1172.32,0,0,0
1102.b1.txt,b1,2493.64,534.35,763.36,1094.15,0,0,1
1104.b1.txt,b1,2124.54,586.08,793.65,1086.69,4,0,3
1104.b1i.txt,b1,2124.54,586.08,793.65,1086.69,4,0,3
1112.b1.txt,b1,2297.62,619.05,785.71,1333.33,0,0,0
1500.b1.txt,b1,2569.54,556.29,768.21,966.89,0,0,1
1508.b1.txt,b1,2422.19,608.93,811.91,1231.39,0,0,0
1520.b1.txt,b1,2297.62,595.24,869.05,1107.14,0,2,1
1523.b1.txt,b1,1454.82,750.38,934.15,1286.37,1,1,0
1528.b1.txt,b1,2294.32,301.27,648.9,1216.69,9,0,0
1532.b1.txt,b1,2420.47,470.26,954.36,982.02,1,0,1
1541.b1.txt,b1,2243.98,587.35,993.98,903.61,1,1,1
2012.b1.txt,b1,2175.07,610.08,755.97,1286.47,1,0,1
2012.b1i.txt,b1,2175.07,610.08,755.97,1286.47,1,0,1
2018.b1.txt,b1,2543.55,534.26,871.08,1138.21,0,2,2
2019.b1.txt,b1,1712.78,619.24,843.21,1343.87,2,0,0
2028.b1.txt,b1,1851.33,673.21,631.14,1374.47,3,0,0
2030.b1.txt,b1,1964.29,700.55,1057.69,1140.11,1,0,0
2032.b1.txt,b1,2033.66,673.21,827.49,1458.63,3,0,0
2034.b1.txt,b1,2350.16,662.46,788.64,1167.19,5,0,2
2036.b1.txt,b1,1893.69,697.67,847.18,1445.18,0,0,0
2042.b1.txt,b1,1829.27,663.96,785.91,1287.26,3,0,0
2049.b1.txt,b1,2471.63,567.47,781.84,1197.98,4,0,1
2066.b1.txt,b1,1993.96,453.17,725.08,1555.89,3,0,1
2070.b1.txt,b1,2245.43,483.03,613.58,1201.04,2,0,1
2070.b1i.txt,b1,2245.43,483.03,613.58,1201.04,2,0,1
3013.b1.txt,b1,2134.43,377.36,1025.94,1250.0,2,0,0
3018.b1.txt,b1,2200.26,566.53,737.81,1422.92,1,0,0
3020.b1.txt,b1,2043.13,408.63,726.45,1203.18,1,1,1
3062.b1.txt,b1,2598.11,581.87,1069.01,1069.01,0,0,0
3501.b1.txt,b1,2767.58,504.59,1039.76,1177.37,2,0,2
3503.b1.txt,b1,2555.21,457.41,820.19,914.83,0,0,0
3504.b1.txt,b1,2343.32,517.71,817.44,1062.67,10,0,8
3505.b1.txt,b1,1869.82,840.24,1005.92,1278.11,2,0,1
3506.b1.txt,b1,2480.82,358.06,971.87,984.65,0,0,2
3508.b1.txt,b1,2164.09,618.31,1224.73,1058.26,0,1,1
3509.b1.txt,b1,2120.05,651.34,957.85,1238.83,0,0,2
3510.b1.txt,b1,2116.7,411.9,1052.63,1052.63,3,0,6
3511.b1.txt,b1,1889.02,755.61,991.74,1404.96,0,0,0
3513.b1.txt,b1,2395.48,361.58,915.25,1389.83,0,1,2
3514.b1.txt,b1,2439.81,449.44,947.03,1107.54,8,0,1
3515.b1.txt,b1,2733.52,590.66,1098.9,1250.0,1,0,1
3518.b1.txt,b1,1945.81,726.6,603.45,1219.21,3,0,1
3519.b1.txt,b1,1554.77,494.7,865.72,1166.08,0,0,1
3520.b1.txt,b1,2619.05,660.17,876.62,1006.49,0,1,0
3522.b1.txt,b1,2380.37,490.8,822.09,1312.88,1,0,0
3523.b1.txt,b1,2517.81,510.69,1175.77,1199.52,0,0,2
3525.b1.txt,b1,1955.78,391.16,782.31,1326.53,1,0,1
4012.b1.txt,b1,2446.56,688.84,771.97,1033.25,1,0,0
4035.b1.txt,b1,1760.46,764.79,678.21,1255.41,1,0,0
4036.b1.txt,b1,1898.26,521.09,1067.0,1153.85,5,0,0
4038.b1.txt,b1,2217.8,650.73,969.46,1181.94,1,0,1
4503.b1.txt,b1,2090.78,412.65,674.0,1237.96,1,2,1
4507.b1.txt,b1,2422.36,534.16,857.14,1403.73,2,0,0
