File,Folder,RelFreq NOUN,RelFreq ADV,RelFreq ADJ,RelFreq VERB,Unique PER,Unique LOC,Unique ORG
0102.a4.txt,a4,1862.75,392.16,664.49,1318.08,3,0,9
0103.a4.txt,a4,1243.85,351.37,534.08,1524.95,9,0,1
0104.a4.txt,a4,1907.76,419.29,817.61,1299.79,2,1,3
0105.a4.txt,a4,1668.76,765.37,677.54,1267.25,4,0,0
0106.a4.txt,a4,1859.69,467.71,1024.5,1258.35,5,0,4
0107.a4.txt,a4,1734.23,461.71,754.5,1497.75,5,0,3
0108.a4.txt,a4,1904.76,455.49,672.88,1594.2,2,0,1
0109.a4.txt,a4,1953.54,432.95,781.41,1425.55,5,0,3
0110.a4.txt,a4,2023.05,371.32,678.62,1318.82,2,0,3
0111.a4.txt,a4,1739.64,426.04,875.74,1491.12,0,0,2
0112.a4.txt,a4,1676.3,427.75,658.96,1421.97,1,0,4
0115.a4.txt,a4,2234.57,567.9,839.51,987.65,3,0,2
0119.a4.txt,a4,1913.88,418.66,574.16,1578.95,2,0,1
0120.a4.txt,a4,1472.25,373.73,679.5,1596.83,7,0,0
0121.a4.txt,a4,1686.39,542.41,710.06,1262.33,9,0,5
0122.a4.txt,a4,2106.56,459.02,786.89,1245.9,2,0,2
0127.a4.txt,a4,1388.54,675.16,662.42,1273.89,10,0,5
0128.a4.txt,a4,2091.95,436.78,551.72,1321.84,3,0,0
0130.a4.txt,a4,2236.7,564.6,618.89,1237.79,2,0,2
0134.a4.txt,a4,1679.73,380.74,918.25,1243.0,4,0,0
0135.a4.txt,a4,1839.9,597.37,764.64,1302.27,10,0,1
0136.a4.txt,a4,1747.04,373.07,782.53,1474.07,7,0,1
0137.a4.txt,a4,2073.62,441.72,650.31,1141.1,7,0,1
0139.a4.txt,a4,1577.61,356.23,890.59,966.92,7,0,1
0140.a4.txt,a4,2135.1,482.51,603.14,1387.21,0,0,2
0149.a4.txt,a4,1708.51,362.62,857.74,1485.36,6,0,3
0156.a4.txt,a4,1570.47,523.49,751.68,1476.51,3,0,2
0157.a4.txt,a4,1660.65,637.79,842.36,1287.61,8,0,1
0158.a4.txt,a4,1564.13,667.36,750.78,1386.86,9,0,0
0159.a4.txt,a4,2087.54,538.72,785.63,1425.36,3,0,1
0161.a4.txt,a4,2195.12,321.51,842.57,1352.55,2,0,2
0165.a4.txt,a4,2263.33,489.66,489.66,1240.48,6,0,2
0168.a4.txt,a4,1998.49,582.89,741.86,1362.6,7,0,5
0169.a4.txt,a4,1720.82,385.08,806.26,1576.41,1,0,1
0171.a4.txt,a4,1664.77,399.09,706.96,1345.5,10,0,1
0175.a4.txt,a4,1777.25,462.09,793.84,1315.17,13,0,1
0176.a4.txt,a4,1883.41,582.96,706.28,1233.18,15,0,0
0177.a4.txt,a4,1404.55,573.69,939.66,1780.42,3,0,2
0178.a4.txt,a4,2136.83,506.09,815.37,1283.97,0,0,3
0179.a4.txt,a4,1977.9,243.09,1027.62,1215.47,14,0,1
0185.a4.txt,a4,1916.67,321.43,809.52,1357.14,12,0,1
0186.a4.txt,a4,1799.52,362.32,700.48,1413.04,4,0,1
0187.a4.txt,a4,1838.24,379.9,612.75,1519.61,1,0,3
0188.a4.txt,a4,2000.0,531.91,723.4,1255.32,3,0,0
0190.a4.txt,a4,1810.55,371.7,839.33,1318.94,0,1,3
0192.a4.txt,a4,2036.36,436.36,496.97,1418.18,2,0,1
0193.a4.txt,a4,1830.86,348.74,601.57,1377.51,8,0,3
0194.a4.txt,a4,2146.89,418.08,655.37,1367.23,1,0,2
0195.a4.txt,a4,1927.99,348.43,557.49,1416.96,7,0,3
0196.a4.txt,a4,1574.24,474.06,813.95,1404.29,1,1,1
0197.a4.txt,a4,1714.98,471.01,664.25,1449.28,8,0,0
0198.a4.txt,a4,1537.61,398.23,663.72,1371.68,8,0,2
0199.a4.txt,a4,1929.82,426.07,877.19,1177.94,8,0,2
0200.a4.txt,a4,1768.15,737.7,632.32,1522.25,3,0,4
0202.a4.txt,a4,1828.22,233.13,380.37,1680.98,1,0,1
0204.a4.txt,a4,1691.08,399.47,665.78,1318.24,10,0,2
0205.a4.txt,a4,1947.93,520.73,626.81,1542.91,6,0,1
0206.a4.txt,a4,1698.47,515.27,801.53,1412.21,4,0,3
0208.a4.txt,a4,1323.28,695.14,619.77,1725.29,7,0,3
0213.a4.txt,a4,2028.47,545.67,581.26,1316.73,3,0,3
0214.a4.txt,a4,1668.73,630.41,692.21,1569.84,4,0,3
0215.a4.txt,a4,2188.08,335.2,698.32,1145.25,6,0,0
0216.a4.txt,a4,2208.05,343.47,569.19,1619.23,4,0,4
0218.a4.txt,a4,1601.42,249.11,771.06,1411.63,7,0,0
0219.a4.txt,a4,1407.94,661.85,866.43,1407.94,11,0,1
0222.a4.txt,a4,1908.05,459.77,666.67,1494.25,2,0,3
0223.a4.txt,a4,1709.3,465.12,651.16,1639.53,6,0,1
0224.a4.txt,a4,1550.39,443.97,761.1,1331.92,12,0,2
0227.a4.txt,a4,2232.47,424.35,424.35,1522.14,4,0,1
0234.a4.txt,a4,2066.01,537.9,867.97,1198.04,3,1,3
0235.a4.txt,a4,1965.81,341.88,757.02,1416.36,2,0,2
0237.a4.txt,a4,1736.03,487.51,832.34,1391.2,1,0,1
0238.a4.txt,a4,1622.76,337.2,537.41,1475.24,12,0,1
1003.a4.txt,a4,2154.4,323.16,718.13,1292.64,4,0,1
1005.a4.txt,a4,1772.64,433.53,587.67,1175.34,10,1,0
1006.a4.txt,a4,2283.81,521.06,886.92,1042.13,10,0,0
1008.a4.txt,a4,1822.22,600.0,822.22,1166.67,8,1,1
1009.a4.txt,a4,1925.55,372.27,603.34,1283.7,11,0,2
1010.a4.txt,a4,1848.21,562.5,848.21,946.43,18,0,3
1012.a4.txt,a4,1900.45,395.93,904.98,1119.91,7,0,2
1013.a4.txt,a4,1632.65,385.49,782.31,1258.5,10,0,0
1014.a4.txt,a4,1598.6,420.07,665.11,1446.91,11,0,1
1017.a4.txt,a4,1800.34,597.27,844.71,1245.73,3,0,1
1018.a4.txt,a4,1732.36,485.79,724.11,1384.05,9,0,0
